Date,Open,High,Low,Close,Adj Close,Volume
2013-12-31,186.490005,187.78999299999998,186.300003,187.570007,164.445328,3619700
2014-01-02,187.21000700000002,187.399994,185.199997,185.529999,162.656815,4546500
2014-01-03,185.830002,187.350006,185.300003,186.639999,163.629974,4063200
2014-01-06,187.149994,187.360001,185.300003,186.0,163.068848,4067800
2014-01-07,186.389999,190.350006,186.380005,189.71000700000002,166.321503,5932300
2014-01-08,189.330002,189.419998,187.259995,187.970001,164.796021,4603700
2014-01-09,189.020004,189.5,186.550003,187.380005,164.278748,4321300
2014-01-10,188.309998,188.570007,186.279999,187.259995,164.173523,4022400
2014-01-13,186.259995,186.949997,183.860001,184.16000400000001,161.455719,5784700
2014-01-14,185.059998,186.429993,183.880005,185.919998,162.998703,4619200
2014-01-15,185.820007,188.649994,185.490005,187.740005,164.59433,4816500
2014-01-16,187.529999,188.990005,186.800003,188.759995,165.488586,4770300
2014-01-17,188.03999299999998,190.809998,187.860001,190.08999599999999,166.654617,7644600
2014-01-21,190.229996,190.389999,186.78999299999998,188.429993,165.199295,11076300
2014-01-22,181.279999,183.5,179.669998,182.25,159.78118899999998,13796100
2014-01-23,181.429993,183.720001,180.71000700000002,182.729996,160.201996,6973900
2014-01-24,181.25,182.809998,179.639999,179.639999,157.49298100000001,6890600
2014-01-27,179.610001,179.649994,177.66000400000001,177.899994,155.967484,5208600
2014-01-28,178.050003,178.449997,176.16000400000001,176.850006,155.04693600000002,5333300
2014-01-29,175.979996,178.529999,175.889999,176.399994,154.65239,4970900
2014-01-30,177.169998,177.860001,176.360001,177.360001,155.49406399999998,4853700
2014-01-31,176.110001,177.83999599999999,175.33999599999999,176.679993,154.897873,5193400
2014-02-03,176.020004,176.020004,172.720001,172.899994,151.583893,7186800
2014-02-04,173.529999,173.75,172.360001,172.83999599999999,151.53131100000002,4349800
2014-02-05,172.190002,174.970001,172.190002,174.240005,152.75874299999998,4712300
2014-02-06,173.970001,174.850006,173.78999299999998,174.669998,153.975189,4292200
2014-02-07,175.639999,177.559998,175.070007,177.25,156.249512,4692900
2014-02-10,176.970001,177.649994,176.25,177.139999,156.152557,3540400
2014-02-11,176.809998,180.389999,176.800003,179.699997,158.409256,4647300
2014-02-12,179.520004,181.25,179.259995,180.240005,158.8853,3983000
2014-02-13,178.220001,182.360001,177.860001,181.83999599999999,160.295715,4482000
2014-02-14,181.259995,184.429993,180.990005,183.690002,161.92652900000002,4659900
2014-02-18,183.179993,184.0,182.320007,183.190002,161.485748,4435200
2014-02-19,182.740005,185.649994,182.41000400000001,182.949997,161.27418500000002,4671500
2014-02-20,182.96000700000002,184.860001,182.78999299999998,184.259995,162.42897,4968200
2014-02-21,184.25,185.71000700000002,182.619995,182.78999299999998,161.133148,5699300
2014-02-24,182.820007,185.16000400000001,182.820007,183.449997,161.714981,4595300
2014-02-25,183.520004,184.600006,182.880005,183.229996,161.52101100000002,3902300
2014-02-26,183.940002,185.279999,183.559998,184.059998,162.252686,3740700
2014-02-27,183.830002,185.949997,183.809998,185.270004,163.31933600000002,3827800
2014-02-28,185.380005,186.119995,183.649994,185.169998,163.231186,4667900
2014-03-03,183.330002,184.639999,182.820007,184.259995,162.42897,3950100
